,Antal cyklusser,Chassis-ID,Distance (km),Gnsnt.hastighed (km/t),I alt (l),I arbejde (%),L/t,Ledig (%),Liter brændstof/ton,Maskintimer,Ton,Starter,TimeDate,Ton/liter brændstof,Ton/time,VM,index,Starter/timen,VM / timen,Ton / VM,VM / Liter
1,40934.0,L180H004724,34.9,6.02,103.4,69.98,17.73,30.02,0.086,5.8,365055.8,7.0,2019-02-22,11.647,38225.74,757.0,,1.207,130.517,482.24,7.321
7,,L180H004724,45.2,5.14,162.4,73.88,20.79,26.12,,8.8,,3.0,2019-04-03,,,1254.0,,0.341,142.5,,7.722
8,,L180H004724,52.0,6.89,160.7,73.73,18.85,26.27,,7.55,,3.0,2019-05-03,,,691.0,,0.397,91.523,,4.3
9,,L180H004724,52.3,7.31,134.7,88.06,21.84,11.94,,7.15,,8.0,2019-06-03,,,978.0,,1.119,136.783,,7.261
10,,L180H004724,51.6,5.4,171.0,66.82,18.65,33.18,,9.55,,7.0,2019-07-03,,,1065.0,,0.733,111.518,,6.228
11,106.0,L180H004724,34.9,10.58,106.7,92.33,22.84,7.67,0.079,3.3,944.2,3.0,2019-08-03,12.690999999999999,286.12,1300.0,,0.909,393.939,0.726,12.184
12,221.0,L180H004724,42.2,6.44,133.9,79.44,20.71,20.56,0.063,6.55,2136.8,4.0,2019-11-03,15.863,326.23,907.0,,0.611,138.473,2.356,6.774
13,300.0,L180H004724,54.6,6.78,178.8,83.57,22.22,16.43,0.063,8.05,2857.9,6.0,2019-12-03,15.904000000000002,355.02,1494.0,,0.745,185.59,1.913,8.356
14,354.0,L180H004724,71.5,6.98,206.5,81.11,20.12,18.89,0.061,10.25,3390.0,4.0,2019-03-13,16.369,330.73,1263.0,,0.39,123.22,2.684,6.116
15,360.0,L180H004724,78.8,7.76,234.0,88.97,23.02,11.03,0.075,10.15,3125.6,3.0,2019-03-14,13.334000000000001,307.94,1428.0,,0.296,140.69,2.189,6.103
0,112.0,L180H004692,53.0,10.5,117.4,84.37,23.13,15.63,0.104,5.05,1134.8,8.0,2019-02-22,9.641,224.71,1594.0314532911457,0.0,1.584,315.65,0.712,13.578
1,30723.0,L180H004692,89.0,9.13,241.1,81.82,24.81,18.18,0.101,9.75,296732.1,4.0,2019-02-25,9.947,52518.96,679.4117991597877,1.0,0.41,69.683,436.749,2.818
