Maskine;Chassis-ID;TimeDate;L/t;I alt (l);I arbejde (%);Ledig (%);Maskintimer;Produktion (ton);Ton/time;Ton/liter brændstof;Liter brændstof/ton;Antal cyklusser;Gnsnt.hastighed (km/t);Distance (km);Starter;Total højdemeter
L180H-4724 62001408-LÆ1050;L180H004724;21-02-2019;21.83;216.60;83.38;16.62;9.95;2908.70;292.33;13.392;0.075;323;6.42;63.90;4;
L180H-4724 62001408-LÆ1050;L180H004724;22-02-2019;17.73;103.40;69.98;30.02;5.80;365055.80;38225.74;11.647;0.086;40934;6.02;34.90;7;757
L180H-4724 62001408-LÆ1050;L180H004724;25-02-2019;;;;;;;;;;;;;;
L180H-4724 62001408-LÆ1050;L180H004724;26-02-2019;;;;;;;;;;;;;;
L180H-4724 62001408-LÆ1050;L180H004724;27-02-2019;;;;;;;;;;;;;;
L180H-4724 62001408-LÆ1050;L180H004724;28-02-2019;;;;;;;;;;;;;;
L180H-4724 62001408-LÆ1050;L180H004724;01-03-2019;;;;;;;;;;;;;;
L180H-4724 62001408-LÆ1050;L180H004724;04-03-2019;20.79;162.40;73.88;26.12;8.80;;;;;;5.14;45.20;3;1254
L180H-4724 62001408-LÆ1050;L180H004724;05-03-2019;18.85;160.70;73.73;26.27;7.55;;;;;;6.89;52.00;3;691
L180H-4724 62001408-LÆ1050;L180H004724;06-03-2019;21.84;134.70;88.06;11.94;7.15;;;;;;7.31;52.30;8;978
L180H-4724 62001408-LÆ1050;L180H004724;07-03-2019;18.65;171.00;66.82;33.18;9.55;;;;;;5.40;51.60;7;1065
L180H-4724 62001408-LÆ1050;L180H004724;08-03-2019;22.84;106.70;92.33;7.67;3.30;944.20;286.12;12.691;0.079;106;10.58;34.90;3;1300
L180H-4724 62001408-LÆ1050;L180H004724;11-03-2019;20.71;133.90;79.44;20.56;6.55;2136.80;326.23;15.863;0.063;221;6.44;42.20;4;907
L180H-4724 62001408-LÆ1050;L180H004724;12-03-2019;22.22;178.80;83.57;16.43;8.05;2857.90;355.02;15.904;0.063;300;6.78;54.60;6;1494
L180H-4724 62001408-LÆ1050;L180H004724;13-03-2019;20.12;206.50;81.11;18.89;10.25;3390.00;330.73;16.369;0.061;354;6.98;71.50;4;1263
L180H-4724 62001408-LÆ1050;L180H004724;14-03-2019;23.02;234.00;88.97;11.03;10.15;3125.60;307.94;13.334;0.075;360;7.76;78.80;3;1428
L180H-4724 62001408-LÆ1050;L180H004724;15-03-2019;20.50;189.20;79.87;20.13;9.25;2272.50;245.68;11.998;0.083;240;7.52;69.60;3;
L180H-4724 62001408-LÆ1050;L180H004724;18-03-2019;18.09;130.00;65.55;34.45;7.15;1759.20;246.04;13.532;0.074;200;5.93;42.40;5;
